2017-10-10 15:10:30 INFO  String:63 - Operation:Borrow Item;Loan Info:[4,9781442668584,1,2017-10-10 03:10:30];State:Fail;Reason:The Item is Not Available.
@2017-10-10 15:10:30 INFO  String:63 - Operation:Borrow Item;Loan Info:[3,9781442668584,1,2017-10-10 03:10:30];State:Fail;Reason:The Item is Not Available.
@2017-10-10 15:10:30 INFO  String:40 - Operation:Borrow Item;Loan Info:[900,9781442616899,1,2017-10-10 03:10:30];State:Fail;Reason:Invalid User.
@2017-10-10 15:10:30 INFO  String:53 - Operation:Borrow Item;Loan Info:[4,BorrowTitle15,1,2017-10-10 03:10:30];State:Success
@2017-10-10 15:10:30 INFO  String:43 - Operation:Borrow Item;Loan Info:[1,9781442616892,1,2017-10-10 03:10:30];State:Fail;Reason:Invalid ISBN.
@2017-10-10 15:10:30 INFO  String:46 - Operation:Borrow Item;Loan Info:[1,9781442616899,2,2017-10-10 03:10:30];State:Fail;Reason:Invalid Copynumber.
@2017-10-10 15:10:30 INFO  String:45 - Operation:Create New User;User Info:[maab,123];State:Success
@2017-10-10 15:10:30 INFO  String:42 - Operation:Create New Title;Title Info:[RemoveTitle,Author];State:Success
@2017-10-10 15:10:30 INFO  String:84 - Operation:Delete Title;Title Info:[RemoveTitle,Author];State:Success
@2017-10-10 15:10:30 INFO  String:91 - Operation:Delete Title;ISBN Info:[I dont exist];State:Fail;Reason:The Title Does Not Exist.
@2017-10-10 15:10:30 INFO  String:42 - Operation:Create New Title;Title Info:[Title,Author];State:Success
@2017-10-10 15:10:30 INFO  String:44 - Operation:Create New Item;Item Info:[Title,1];State:Success
@2017-10-10 15:10:30 INFO  String:45 - Operation:Create New Title;Title Info:[Title1,Author];State:Fail;Reason:The ISBN already existed.
@2017-10-10 15:10:30 INFO  String:44 - Operation:Create New Item;Item Info:[Title1,2];State:Success
@2017-10-10 15:10:30 INFO  String:42 - Operation:Create New Title;Title Info:[RemoveItemSucess3,Author];State:Success
@2017-10-10 15:10:30 INFO  String:44 - Operation:Create New Item;Item Info:[RemoveItemSucess3,1];State:Success
@2017-10-10 15:10:30 INFO  String:63 - Operation:Borrow Item;Loan Info:[1,Title1,1,2017-10-10 03:10:30];State:Fail;Reason:The Item is Not Available.
@2017-10-10 15:10:30 INFO  String:94 - Operation:Delete Item;Item Info:[Title1,1];State:Fail;Reason:The item is currently on loan.
@2017-10-10 15:10:30 INFO  String:98 - Operation:Delete Item;Item Info:[RemoveItem2,1];State:Fail;Reason:The Item Does Not Exist.
@2017-10-10 15:10:30 INFO  String:91 - Operation:Delete Item;Item Info:[RemoveItemSucess3,N/A];State:Success
@2017-10-10 15:10:30 INFO  String:45 - Operation:Create New User;User Info:[lauren,lauren];State:Success
@2017-10-10 15:10:30 INFO  String:101 - Operation:Delete User;User Info:[lauren,lauren];State:Success
@2017-10-10 15:10:30 INFO  String:48 - Operation:Create New User;User Info:[maab,123];State:Fail;Reason:The User already existed.
@2017-10-10 15:10:30 INFO  String:56 - Operation:Borrow Item;Loan Info:[2,9781442616899,1,2017-10-10 03:10:30];State:Fail;Reason:The Maximun Number of Items is Reached.
@2017-10-10 15:10:30 INFO  String:45 - Operation:Create New User;User Info:[deleteme,123];State:Success
@2017-10-10 15:10:30 INFO  String:45 - Operation:Create New User;User Info:[Dan,Dan];State:Success
@2017-10-10 15:10:30 INFO  String:101 - Operation:Delete User;User Info:[Dan,Dan];State:Success
@2017-10-10 15:10:30 INFO  String:91 - Operation:Delete User;User Info:[N/A,N/A];State:Fail;Reason:The User Does Not Exist.
@2017-10-10 15:10:30 INFO  String:105 - Operation:Delete User;User Info:[Zhibo@carleton.ca,Zhibo];State:Fail;Reason:Outstanding Fee Exists.
@2017-10-10 15:10:30 INFO  String:110 - Operation:Delete User;User Info:[Michelle@carleton.ca,Michelle];State:Fail;Reason:Active Loan Exists.
@2017-10-10 15:10:30 INFO  String:42 - Operation:Create New Title;Title Info:[ReturnItem,Author];State:Success
@2017-10-10 15:10:30 INFO  String:44 - Operation:Create New Item;Item Info:[ReturnItem,1];State:Success
@2017-10-10 15:10:30 INFO  String:53 - Operation:Borrow Item;Loan Info:[3,ReturnItem,1,2017-10-10 03:10:30];State:Success
@2017-10-10 15:10:30 INFO  String:174 - Operation:Return Item;Loan Info:[3,ReturnItem,1,2017-10-10 03:10:30];State:Success
@2017-10-10 15:10:30 INFO  String:181 - Operation:Return Item;Loan Info:[2,Title99,1,2017-10-10 03:10:30];State:Fail;Reason:The Loan Does Not Exist.
@2017-10-10 15:10:30 INFO  String:174 - Operation:Return Item;Loan Info:[0,9781442668584,1,2017-10-10 03:10:30];State:Success
@2017-10-10 15:10:30 INFO  String:108 - Operation:Apply OutStanding Fee;Fee Info:[1,0];State:Success
@2017-10-10 15:10:30 INFO  String:150 - Operation:Pay Fine;Fee Info:[0,0];State:Success
@2017-10-10 15:10:30 INFO  String:181 - Operation:Return Item;Loan Info:[0,9781442668584,1,2017-10-10 03:10:30];State:Fail;Reason:The Loan Does Not Exist.
@2017-10-10 15:10:30 INFO  String:98 - Operation:Apply OutStanding Fee;Fee Info:[1,0];State:Success
@2017-10-10 15:10:30 INFO  String:150 - Operation:Pay Fine;Fee Info:[0,0];State:Success
@2017-10-10 15:10:30 INFO  String:42 - Operation:Create New Title;Title Info:[RemoveTitle,Author];State:Success
@2017-10-10 15:10:30 INFO  String:84 - Operation:Delete Title;Title Info:[RemoveTitle,Author];State:Success
@2017-10-10 15:10:30 INFO  String:91 - Operation:Delete Title;ISBN Info:[I dont exist];State:Fail;Reason:The Title Does Not Exist.
@2017-10-10 15:10:30 INFO  String:45 - Operation:Create New User;User Info:[lauren,lauren];State:Success
@2017-10-10 15:10:30 INFO  String:101 - Operation:Delete User;User Info:[lauren,lauren];State:Success
@2017-10-10 15:10:30 INFO  String:48 - Operation:Create New User;User Info:[maab,123];State:Fail;Reason:The User already existed.
@2017-10-10 15:10:30 INFO  String:56 - Operation:Borrow Item;Loan Info:[2,9781442616899,1,2017-10-10 03:10:30];State:Fail;Reason:The Maximun Number of Items is Reached.
@2017-10-10 15:10:30 INFO  String:48 - Operation:Create New User;User Info:[deleteme,123];State:Fail;Reason:The User already existed.
@2017-10-10 15:10:30 INFO  String:45 - Operation:Create New User;User Info:[Dan,Dan];State:Success
@2017-10-10 15:10:30 INFO  String:101 - Operation:Delete User;User Info:[Dan,Dan];State:Success
@2017-10-10 15:10:30 INFO  String:91 - Operation:Delete User;User Info:[N/A,N/A];State:Fail;Reason:The User Does Not Exist.
@2017-10-10 15:10:30 INFO  String:105 - Operation:Delete User;User Info:[Zhibo@carleton.ca,Zhibo];State:Fail;Reason:Outstanding Fee Exists.
@2017-10-10 15:10:30 INFO  String:110 - Operation:Delete User;User Info:[Michelle@carleton.ca,Michelle];State:Fail;Reason:Active Loan Exists.
@2017-10-10 15:10:30 INFO  String:45 - Operation:Create New Title;Title Info:[Title1,Author];State:Fail;Reason:The ISBN already existed.
@2017-10-10 15:10:30 INFO  String:44 - Operation:Create New Item;Item Info:[Title1,3];State:Success
@2017-10-10 15:10:30 INFO  String:45 - Operation:Create New Title;Title Info:[RemoveItemSucess3,Author];State:Fail;Reason:The ISBN already existed.
@2017-10-10 15:10:30 INFO  String:44 - Operation:Create New Item;Item Info:[RemoveItemSucess3,2];State:Success
@2017-10-10 15:10:30 INFO  String:63 - Operation:Borrow Item;Loan Info:[1,Title1,1,2017-10-10 03:10:30];State:Fail;Reason:The Item is Not Available.
@2017-10-10 15:10:30 INFO  String:94 - Operation:Delete Item;Item Info:[Title1,1];State:Fail;Reason:The item is currently on loan.
@2017-10-10 15:10:30 INFO  String:98 - Operation:Delete Item;Item Info:[RemoveItem2,1];State:Fail;Reason:The Item Does Not Exist.
@2017-10-10 15:10:30 INFO  String:91 - Operation:Delete Item;Item Info:[RemoveItemSucess3,N/A];State:Success
@2017-10-10 15:10:30 INFO  String:48 - Operation:Create New User;User Info:[maab,123];State:Fail;Reason:The User already existed.
@2017-10-10 15:10:30 INFO  String:42 - Operation:Create New Title;Title Info:[Generic Title,Author];State:Success
@2017-10-10 15:10:30 INFO  String:45 - Operation:Create New Title;Title Info:[Title,Author];State:Fail;Reason:The ISBN already existed.
@2017-10-10 15:10:30 INFO  String:44 - Operation:Create New Item;Item Info:[Title,2];State:Success
@2017-10-10 15:10:30 INFO  String:45 - Operation:Create New Title;Title Info:[BorrowTitle1,Author];State:Fail;Reason:The ISBN already existed.
